Milliseconds,Latitude,Longitude,Altitude,Pitch,Bank,GyroHeading,TrueHeading,MagneticHeading,VelocityBodyX,VelocityBodyY,VelocityBodyZ,AileronPosition,ElevatorPosition,RudderPosition,ElevatorTrimPosition,AileronTrimPercent,RudderTrimPercent,FlapsHandleIndex,TrailingEdgeFlapsLeftPercent,TrailingEdgeFlapsRightPercent,LeadingEdgeFlapsLeftPercent,LeadingEdgeFlapsRightPercent,ThrottleLeverPosition1,ThrottleLeverPosition2,ThrottleLeverPosition3,ThrottleLeverPosition4,PropellerLeverPosition1,PropellerLeverPosition2,PropellerLeverPosition3,PropellerLeverPosition4,SpoilerHandlePosition,GearHandlePosition,WaterRudderHandlePosition,BrakeLeftPosition,BrakeRightPosition,BrakeParkingPosition,LightTaxi,LightLanding,LightStrobe,LightBeacon,LightNav,LightWing,LightLogo,LightRecognition,LightCabin,SimulationRate,AbsoluteTime,AltitudeAboveGround,IsOnGround,WindVelocity,WindDirection,GForce,TouchdownNormalVelocity,WingFlexPercent1,WingFlexPercent2,WingFlexPercent3,WingFlexPercent4,TrueAirspeed,IndicatedAirspeed,MachAirspeed,GpsGroundSpeed,GroundSpeed,HeadingIndicator,AIPitch,AIBank,EngineManifoldPressure1,EngineManifoldPressure2,EngineManifoldPressure3,EngineManifoldPressure4,TurnCoordinatorBall,HsiCDI,StallWarning,RotationVelocityBodyX,RotationVelocityBodyY,RotationVelocityBodyZ,AccelerationBodyX,AccelerationBodyY,AccelerationBodyZ
1328501191,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132259.994064,2547.702592186663,0,2.2659140889227465,272.3992004394531,1.0305578103072857,45.36108970642081,0.6970497369766235,0.6767163276672363,0.3551260828971863,0.29238730669021606,106.03412628173828,95.3851318359375,0.1618373841047287,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157448543237,0,0,0,-78,-0,0,0,0,0,-2.8703723028309245,1.105359686190262,1.691659839672643
1328501270,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.04962,2547.702592186663,0,2.2659159252916448,272.399169921875,1.0305825833152746,45.36108970642081,0.6966456174850464,0.6763507723808289,0.35475510358810425,0.29197821021080017,106.03412628173828,95.3851318359375,0.1618373841047287,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157457295397,0,0,0,-78,-0,0,0,0,0,-2.869504271021777,1.1085035336310582,1.6919485777193177
1328501350,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.160736,2547.702592186663,0,2.2659159252916448,272.399169921875,1.0305913534560895,45.36108970642081,0.6960398554801941,0.6757607460021973,0.3541572690010071,0.2913852632045746,106.03411865234375,95.3851318359375,0.1618373692035675,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157464933034,0,0,0,-78,-0,0,0,0,0,-2.8663905742667284,1.1041531889675085,1.6918587729895038
1328501428,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.21629,2547.702592186663,0,2.265918185437982,272.39910888671875,1.0305903335636841,45.36108970642081,0.6951197981834412,0.6748631000518799,0.35320961475372314,0.2905391752719879,106.03411865234375,95.38512420654297,0.1618373692035675,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.06815747438025,0,0,0,-78,-0,0,0,0,0,-2.8668387147866783,1.1047418372283673,1.6919189917797848
1328501509,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.3274,2547.702592186663,0,2.265918185437982,272.39910888671875,1.0305774546280975,45.36108970642081,0.6943308711051941,0.6741317510604858,0.3523900806903839,0.2898702919483185,106.03411102294922,95.38512420654297,0.1618373543024063,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157482446331,0,0,0,-78,-0,0,0,0,0,-2.865846100238031,1.0996357459551476,1.6917103987891746
1328501598,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.38296,2547.702592186663,0,2.26591931551115,272.39910888671875,1.0305881810180142,45.36108970642081,0.6935371160507202,0.6734292507171631,0.35156378149986267,0.2892707288265228,106.03411102294922,95.38512420654297,0.1618373543024063,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157492706035,0,0,0,-78,-0,0,0,0,0,-2.86948661602708,1.1063126958901819,1.691726764032489
1328501690,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.49407,2547.702592186663,0,2.26591931551115,272.39910888671875,1.0305916586709842,45.36108970642081,0.6932005882263184,0.6731504797935486,0.3512164354324341,0.28907087445259094,106.03409576416016,95.38511657714844,0.16183733940124512,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157501606187,0,0,0,-78,-0,0,0,0,0,-2.8653883529232016,1.1039995095416586,1.6918538723765253
1328501776,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.54962,2547.702592186663,0,2.265921858175779,272.3990478515625,1.0305779445088203,45.36108970642081,0.6933375597000122,0.6732652187347412,0.35134944319725037,0.28925034403800964,106.03409576416016,95.3851089477539,0.16183733940124512,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157512082935,0,0,0,-78,-0,0,0,0,0,-2.868315245333245,1.101887360916919,1.6917162256435856
1328501862,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.660736,2547.702592186663,0,2.265921858175779,272.3990478515625,1.0305628428826983,45.36108970642081,0.6938726305961609,0.6737332940101624,0.35190102458000183,0.28973260521888733,106.03408813476562,95.38509368896484,0.16183732450008392,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157521385846,0,0,0,-78,-0,0,0,0,0,-2.8661100348337287,1.1021662410928883,1.6918768613687645
1328501940,47.04351622753955,8.281783564558516,4647.5525775393335,-0.5755529526297973,4.92423759920691,135.48524223285239,138.01367207033653,135.06086966123576,-1.0294346342450587,-1.431774965610099,181.14689953209398,0,0.15399169921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856132260.71629,2547.702592186663,0,2.265924965876992,272.3990173339844,1.0305496795304816,45.36108970642081,0.694665253162384,0.6744095087051392,0.35272350907325745,0.29038846492767334,106.03408813476562,95.38509368896484,0.16183732450008392,2.075596453046691,2.0755965364583018,135.48524223285239,-0.5755529526297973,4.92423759920691,12.068157530748453,0,0,0,-78,-0,0,0,0,0,-2.86690869812387,1.1015073381368268,1.6917032160182792
