Milliseconds,Latitude,Longitude,Altitude,Pitch,Bank,GyroHeading,TrueHeading,MagneticHeading,VelocityBodyX,VelocityBodyY,VelocityBodyZ,AileronPosition,ElevatorPosition,RudderPosition,ElevatorTrimPosition,AileronTrimPercent,RudderTrimPercent,FlapsHandleIndex,TrailingEdgeFlapsLeftPercent,TrailingEdgeFlapsRightPercent,LeadingEdgeFlapsLeftPercent,LeadingEdgeFlapsRightPercent,ThrottleLeverPosition1,ThrottleLeverPosition2,ThrottleLeverPosition3,ThrottleLeverPosition4,PropellerLeverPosition1,PropellerLeverPosition2,PropellerLeverPosition3,PropellerLeverPosition4,SpoilerHandlePosition,GearHandlePosition,WaterRudderHandlePosition,BrakeLeftPosition,BrakeRightPosition,BrakeParkingPosition,LightTaxi,LightLanding,LightStrobe,LightBeacon,LightNav,LightWing,LightLogo,LightRecognition,LightCabin,SimulationRate,AbsoluteTime,AltitudeAboveGround,IsOnGround,WindVelocity,WindDirection,GForce,TouchdownNormalVelocity,WingFlexPercent1,WingFlexPercent2,WingFlexPercent3,WingFlexPercent4,TrueAirspeed,IndicatedAirspeed,MachAirspeed,GpsGroundSpeed,GroundSpeed,HeadingIndicator,AIPitch,AIBank,EngineManifoldPressure1,EngineManifoldPressure2,EngineManifoldPressure3,EngineManifoldPressure4,TurnCoordinatorBall,HsiCDI,StallWarning,RotationVelocityBodyX,RotationVelocityBodyY,RotationVelocityBodyZ,AccelerationBodyX,AccelerationBodyY,AccelerationBodyZ
707228764,47.216179508502925,7.608376032820263,4423.914207204159,6.211350922337028,0.5294747280227518,268.45024165131196,270.683908400463,267.89241243455626,2.5084840897324674,7.9277860356960215,218.30444615816054,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510991.87933,3014.1292965250263,0,4.280929898041618,172.8123779296875,1.1872857701145825,122.98469066619849,0.7757586240768433,0.7747543454170227,0.2242216020822525,0.29316240549087524,130.11463928222656,120.76640319824219,0.1988595426082611,36.449245757726985,129.10373083731977,268.45024165131196,6.211350922337028,0.5294747280227518,5.668912999147618,0,0,0,-6,-0,0,0.03387964404171912,-0.03300671545439325,-0.025060246909402627,-0.8131684719797988,-12.5223956620556,-1.2274204484709812
707228837,47.216180691712836,7.608301825316648,4422.559958944135,6.326964527098422,0.4094344700785516,268.29761673547904,270.5300383287583,267.7385423628516,3.0321364224505745,7.56653380857265,218.18728408584005,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510991.99045,3012.775048265003,0,3.2263639810121267,204.4580078125,1.082637962261606,122.98469066619849,0.6456102132797241,0.6411915421485901,0.10281381011009216,0.14792178571224213,130.18865966796875,120.853271484375,0.19897142052650452,129.29591267464195,128.99404693162174,268.29761673547904,6.326964527098422,0.4094344700785516,5.669231855010184,0,0,0,-3,-0,0,0.012009468126401728,-0.029236706772172206,-0.015002024753247101,-0.8619197474834888,-11.020152551661722,-1.1526059773070116
707228913,47.216181735010004,7.608235294973649,4421.281584944536,6.32517022104166,0.3554106735676401,268.19879944181105,270.42735006079204,267.63585409488536,3.3277488376672637,6.885154483883061,218.09799911720341,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.10156,3011.4966742654037,0,3.238628947626687,210.13800048828125,1.0116533158453893,122.98469066619849,0.553652286529541,0.5426592826843262,0.021266989409923553,0.036517705768346786,130.2738800048828,121.0267333984375,0.19909104704856873,129.29591267464195,128.8972533644124,268.19879944181105,6.32517022104166,0.3554106735676401,5.669488497651877,0,0,0,1,-0,0,-0.01185288766421452,-0.01706895423508217,-0.006109453423836195,-0.9278739656075362,-6.756774686424327,-1.1093438219489262
707228990,47.21618274414272,7.608169504351336,4419.973276925177,6.251459630009111,0.3313529216248923,268.1517557497639,270.37692385419655,267.58542788828987,3.438109885096315,6.150503465455116,218.016425897139,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.15712,3010.1883662460446,0,3.595159404252046,206.7739715576172,0.972068734318191,122.98469066619849,0.4935852289199829,0.47885578870773315,-0.03023640252649784,-0.03861233964562416,131.25088500976562,121.31450653076172,0.20058777928352356,129.29591267464195,128.8147132880385,268.1517557497639,6.251459630009111,0.3313529216248923,5.669691590618073,0,0,0,4,-0,0,-0.020433350925681073,-0.006448215005824614,-0.0019548904138680483,-0.8951117056741589,-5.8888229230173,-1.2547959722137763
707229071,47.21618377500493,7.608100717032006,4418.570671991732,6.151042167638172,0.38392536360780105,268.15118720192345,270.3729007031802,267.58140473727354,3.365384722677179,5.379640430074249,217.93103482158523,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.21268,3008.7857613125993,0,3.5723669585192863,239.83770751953125,0.9452032130188635,122.98469066619849,0.46665799617767334,0.44078734517097473,-0.04435795173048973,-0.09559725224971771,131.182861328125,121.56749725341797,0.2004796415567398,128.99404076726566,128.7327908386725,268.15118720192345,6.151042167638172,0.38392536360780105,5.669819478140735,0,0,0,7,-0,0,-0.023821689754148813,0.005323480293696485,0.019613090260792505,-0.9336552414746659,-3.451720411895512,-1.2605444778303099
707229151,47.216184807699705,7.608030184222914,4417.110169503247,6.043849277042947,0.44721523366403804,268.20736555187773,270.4254816024078,267.6339856365011,3.0895736334557413,4.816983249523462,217.83912022667843,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.32379,3007.3252588241144,0,3.48011117527345,239.02330017089844,0.9420025261986507,122.98469066619849,0.48010918498039246,0.449459046125412,-0.023295188322663307,-0.10614181309938431,131.57888793945312,121.97068786621094,0.20108026266098022,128.99404076726566,128.66108455758692,268.20736555187773,6.043849277042947,0.44721523366403804,5.669868332671316,0,0,0,9,-0,0,-0.0212559219161039,0.017235495643280002,0.003975517712910783,-0.7562181395981903,-0.35223515107718145,-1.3081452372094449
707229230,47.21618580126977,7.607960928405011,4415.674915404243,5.96471204884701,0.46521577926490604,268.311243680614,270.52664446438297,267.7351484984763,2.6389149523729984,4.601115915982826,217.74646668323302,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.37935,3005.8900047251104,0,3.8270896884432015,241.96604919433594,0.9579282043346001,122.98469066619849,0.532020092010498,0.5129854679107666,0.02282778173685074,-0.05443643406033516,131.9370880126953,122.2918472290039,0.20162516832351685,128.99404076726566,128.6052539020708,268.311243680614,5.96471204884701,0.46521577926490604,5.669842346023807,0,0,0,10,-0,0,-0.01198530126946396,0.026241161270386386,-0.0007996415338264094,-0.49662283828776344,1.873740292378991,-1.3534407429003372
707229322,47.216186772416,7.6078923617332945,4414.2676989150405,5.938849134918507,0.46815294798960844,268.43662784428244,270.6512893931206,267.8597934272139,2.1363211560401445,4.6883064651552155,217.64111403180078,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.49046,3004.482788235908,0,4.242050860757179,243.06289672851562,0.9787630468973627,122.98469066619849,0.6064736843109131,0.5985073447227478,0.08779995888471603,0.03260662406682968,133.00315856933594,122.82024383544922,0.20325416326522827,128.73278920645302,128.55117805949172,268.43662784428244,5.938849134918507,0.46815294798960844,5.66972440713892,0,0,0,9,-0,0,0.0004117571885581641,0.02831867704350275,-0.003938579822813672,-0.2411577378395636,2.1843896484801717,-1.4915797670492408
707229396,47.21618779656875,7.607819697464157,4412.790452002824,5.950796759452558,0.4270390167568006,268.5729085700878,270.78759833991114,267.99610237400447,1.6071755532967553,4.858477013214633,217.5216900590714,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.54602,3003.005541323692,0,5.096680277583396,250.42381286621094,0.991392892505088,122.98469066619849,0.678829550743103,0.6828829646110535,0.1458326131105423,0.12722374498844147,132.79135131835938,123.2603988647461,0.20293374359607697,128.73278920645302,128.48659054472606,268.5729085700878,5.950796759452558,0.4270390167568006,5.669459871441315,0,0,0,7,-0,0,0.0046984601805086755,0.02775008603511845,-0.015335190790318908,0.03250698506084594,1.9327480957672079,-1.4615302045094085
707229495,47.21618886897459,7.607743654291562,4411.254386075177,5.980112840361399,0.37528131482588145,268.70095477855153,270.91698427262065,268.125488306714,1.1240789131533275,5.036831554015858,217.3922372564031,0,0.05102538876235485,0,-0.018583470955491066,0,0,0,0,0,0,0,0.463623046875,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855510992.60158,3001.4694753960443,0,5.147700820988752,245.16030883789062,0.9972983755086038,122.98469066619849,0.7365366816520691,0.7437896132469177,0.19243191182613373,0.19616827368736267,132.87109375,123.61700439453125,0.203058123588562,128.73278920645302,128.41422699745652,268.70095477855153,5.980112840361399,0.37528131482588145,5.669114342959819,0,0,0,5,-0,0,0.0071497752968911425,0.023014660393804936,-0.010703137970693805,0.23031424881338686,0.4308870224197852,-1.4842210889224776
